,SKIDCURR,Predict,Proba
0,202448,0,0.021962312500607248
1,393664,0,0.0224652021331428
2,315374,0,0.030962168249033833
3,412331,0,0.047390950129361245
4,218860,0,0.055672335515344645
5,101247,0,0.033650067633480794
6,204641,0,0.01818821483384795
7,192546,0,0.029777605558960977
8,433379,0,0.03693545347970687
9,242595,0,0.2315823579008916
10,206884,0,0.06832695722315155
11,364331,0,0.07461875950835523
12,263308,0,0.022787913168223328
13,233315,0,0.05563708013539259
14,435443,0,0.05192939962186157
15,234920,0,0.02077892689642582
16,289019,0,0.12431536156947923
17,146364,0,0.294742830828719
18,365139,0,0.19591905498015352
19,405887,0,0.1465405218561888
20,190007,0,0.13948844779686578
21,411291,0,0.02817004995695254
22,153140,0,0.2022824956539801
23,299698,0,0.02436115702017623
24,303564,0,0.01986829934985141
25,414521,0,0.03796452743819837
26,355899,0,0.03088051758071999
27,170010,0,0.014758179796756504
28,121608,0,0.15842453881761356
29,170614,0,0.05149057392338369
30,441900,0,0.02463033876100391
31,330030,0,0.07456000576299432
32,109537,0,0.13605069161227595
33,328881,0,0.019874570675874607
34,322050,0,0.023667832646793594
35,169652,0,0.10214030445307104
36,262871,0,0.04487416942774113
37,219634,0,0.07174443247151181
38,254293,0,0.07051969544537297
39,142182,0,0.08507502398665413
40,404839,0,0.1273246416748366
41,300984,0,0.039596966421892865
42,282869,0,0.04679043805552491
43,135894,0,0.10501469912593081
44,104220,0,0.025696551487453072
45,223616,0,0.1725028520866442
46,215676,0,0.04826647711063494
47,212532,0,0.10607713909097351
48,335401,0,0.05433923939212085
49,407320,0,0.19956961804510343
50,423357,0,0.01633099144819222
51,376847,0,0.14096629266941094
52,392848,0,0.02385712765684245
53,288418,0,0.06376735111707997
54,231445,0,0.03803969668224769
55,275983,0,0.050737949521029176
56,298358,0,0.047868005020171585
57,143821,0,0.1558122162624828
58,127440,0,0.0963258615261573
59,209456,0,0.007626962581338231
60,426645,0,0.30074569358623565
61,353746,0,0.026803740849934126
62,301620,0,0.0899128354950587
63,220977,0,0.09523820920633567
64,385782,0,0.05475104740721089
65,401773,0,0.05586954837804825
66,262279,0,0.02664007810828483
67,442412,0,0.06094550170082252
68,274794,0,0.018445207602475727
69,280956,0,0.014040525268170937
70,227522,0,0.04009518559338552
71,301730,0,0.0697796092619353
72,375674,0,0.029455722559785593
73,400958,0,0.1927300424032603
74,192677,0,0.029680625449478155
75,236210,0,0.018368324954859253
76,302664,0,0.1982262116178949
77,447856,0,0.07406269223374105
78,281694,0,0.2108461821675079
79,153972,0,0.2438558864297593
80,127814,0,0.03478468662610862
81,168249,0,0.07442922238314811
82,123904,0,0.126406386391869
83,331847,0,0.03387888658901648
84,284251,0,0.05239104377788119
85,355392,0,0.2369121092530013
86,153770,0,0.07121303456167652
87,120950,0,0.08429599138394644
88,288565,0,0.056302154746887295
89,122705,0,0.0885082904441233
90,191587,0,0.08456577309542725
91,446081,0,0.010518539083695874
92,429070,0,0.024285907045561286
93,284769,0,0.16322381501570407
94,145598,0,0.06864846493076175
95,410197,0,0.08664253742508841
96,447665,0,0.18481991531107428
97,106889,0,0.02150466086175647
98,386210,0,0.03264766194995603
99,265700,0,0.03572490512486051
100,304655,0,0.034023910570344824
101,269814,0,0.10475546772477914
102,367703,0,0.020973594128854092
103,103483,0,0.019081821445380752
104,253985,0,0.03435525717777927
105,389373,0,0.02031647215440031
106,213053,0,0.08889822263335535
107,196020,0,0.04240868658332858
108,116751,0,0.1676287635245447
109,428577,0,0.044481915466274904
110,106683,0,0.015519969144820133
111,158574,0,0.16694623209759005
112,299028,0,0.09198077770510978
113,401493,0,0.1564016710112442
114,247426,0,0.14185156459972956
